ID,Tipo,SKU,"GTIN, UPC, EAN, or ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Marcas,Meta: surerank_seo_checks_last_updated,Meta: _uag_css_file_name
,simple,,,Peekers,1,1,visible,,<p>Los Peekers nacen en grietas dimensionales. No son peligrosos; simplemente sienten una curiosidad insaciable por todo lo que sucede a su alrededor.</p>,,,taxable,,1,,,0,0,,,,,1,,,39000,Amigurumi,,,,,,,,,,,,0,,1779667235,uag-css-2555.css
,simple,,,Monoculs,1,1,visible,,<p>Los Monoculs poseen un único ojo capaz de observar varios planos simultáneamente. Siempre saben cuándo alguien está a punto de tomar una mala decisión.</p>,,,taxable,,1,,,0,0,,,,,1,,,39000,Amigurumi,,,,,,,,,,,,0,,1779667235,uag-css-2555.css
,simple,,,Peelbeasts,1,1,visible,,"<p>Los Peelbeasts habitan mercados abandonados durante la madrugada. A pesar de sus enormes colmillos, prefieren comer dulces y caramelos antes que cualquier otra cosa.</p>",,,taxable,,1,,,0,0,,,,,1,,,39000,Amigurumi,,,,,,,,,,,,0,,1779667235,uag-css-2555.css
,simple,,,Twiglets,1,1,visible,,"<p>Los Twiglets suelen esconderse entre ramas secas y adornos olvidados. Les encanta acompañar viajeros, aunque rara vez se dejan ver.</p>",,,taxable,,1,,,0,0,,,,,1,,,39000,Amigurumi,,,,,,,,,,,,0,,1779667235,uag-css-2555.css
,simple,,,Runeborns,1,1,visible,,<p>Los Runeborns nacen cuando una runa antigua permanece olvidada durante siglos. Cada símbolo grabado en su rostro representa un juramento que nunca debe romperse.</p>,,,taxable,,1,,,0,0,,,,,1,,,39000,Amigurumi,,,,,,,,,,,,0,,1779667235,uag-css-2555.css
,simple,,,Moonfae,1,1,visible,,<p>Los Moonfae recolectan fragmentos de luz lunar para fabricar amuletos. Suelen conserva los colmillos sagrados heredados de su clan.</p>,,,taxable,,1,,,0,0,,,,,1,,,39000,Amigurumi,,,,,,,,,,,,0,,1779667235,uag-css-2555.css
,simple,,,Frostkins,1,1,visible,,<p>Los Frostkins aparecen en lagos congelados durante los inviernos más silenciosos. Su lengua brillante puede detectar emociones ocultas en las personas.</p>,,,taxable,,1,,,0,0,,,,,1,,,39000,Amigurumi,,,,,,,,,,,,0,,1779667235,uag-css-2555.css
,simple,,,Noctheris,1,1,visible,,<p>Los Noctheris son nobles de los Reinos Crepusculares. Organizan bailes bajo eclipses parciales y consideran las pesadillas una forma refinada de arte.</p>,,,taxable,,1,,,0,0,,,,,1,,,39000,Amigurumi,,,,,,,,,,,,0,,1779667235,uag-css-2555.css
,simple,,,Auraliths,1,1,visible,,<p>Los Auraliths proceden de lunas cubiertas por niebla violeta. Sus cuerpos albergan pequeños portales biológicos que utilizan para almacenar objetos diminutos y recuerdos importantes.</p>,,,taxable,,1,,,0,0,,,,,1,,,39000,Amigurumi,,,,,,,,,,,,0,,1779667235,uag-css-2555.css
,simple,,,Mawlings,1,1,visible,,"<p>Los Mawlings expresan emociones mediante la posición de sus dientes. Cuando sonríen ampliamente, suele significar amistad... aunque pocos se atreven a comprobarlo.</p>",,,taxable,,1,,,0,0,,,,,1,,,39000,Amigurumi,,,,,,,,,,,,0,,1779667235,uag-css-2555.css
,simple,,,Drowskats,1,1,visible,,<p>Los Drowskats son viajeros eternamente cansados. Pueden dormir durante semanas y despertar exactamente donde necesitan estar. Jamás recuerdan cómo llegaron a sus destinos.</p>,,,taxable,,1,,,0,0,,,,,1,,,39000,Amigurumi,,,,,,,,,,,,0,,1779667235,uag-css-2555.css
,simple,,,Stitchlings,1,1,visible,,<p>Los Stitchlings nacen cuando alguien abandona una muñeca querida. Cada remiendo contiene fragmentos de recuerdos olvidados. Cada uno conserva más de cien historias distintas en su interior.</p>,,,taxable,,1,,,0,0,,,,,1,,,39000,Amigurumi,,,,,,,,,,,,0,,1779667235,uag-css-2555.css
,simple,,,Mushgroves,1,1,visible,,<p>Los Mushgroves viven en claros donde jamás desaparece la niebla. Sobre sus cuernos crecen hongos que indican las estaciones. Pueden encontrar agua incluso en los veranos más secos.</p>,,,taxable,,1,,,0,0,,,,,1,,,39000,Amigurumi,,,,,,,,,,,,0,,1779667235,uag-css-2555.css
,simple,,,Velari,1,1,visible,,"<p>Los Velari son mensajeros entre las estaciones. Cuando uno aparece, significa que un gran cambio se aproxima. Portan plumas bendecidas por los vientos del norte.</p>",,,taxable,,1,,,0,0,,,,,1,,,39000,Amigurumi,,,,,,,,,,,,0,,1779667235,uag-css-2555.css
,simple,,,Rootfolk,1,1,visible,,<p>Los Rootfolk cuidan senderos ocultos que conectan bosques distantes. Recorren cientos de kilómetros sin abandonar jamás la sombra de los árboles.</p>,,,taxable,,1,,,0,0,,,,,1,,,39000,Amigurumi,,,,,,,,,,,,0,,1779667235,uag-css-2555.css
,simple,,,Sporelings,1,1,visible,,"<p>Los Sporelings son pequeños viajeros de los bosques húmedos. Cada vez que uno ríe, libera esporas luminosas que provocan sueños coloridos en quienes las respiran.</p>",,,taxable,,1,,,0,0,,,,,1,,,39000,Amigurumi,,,,,,,,,,,,0,,1779667235,uag-css-2555.css
,simple,,,Mosskins,1,1,visible,,<p>Los Mosskins nacen dentro de troncos huecos cubiertos de musgo. Son guardianes silenciosos de semillas perdidas. Pueden reconocer la edad de cualquier árbol con solo tocar su corteza.</p>,,,taxable,,1,,,0,0,,,,,1,,,39000,Amigurumi,,,,,,,,,,,,0,,1779667235,uag-css-2555.css
,simple,,,Carnivales,1,1,visible,,<p>Los Carnivales provienen de ferias desaparecidas que aparecen una vez cada siglo. Disfrutan observando a los viajeros desde las sombras mientras recopila historias extrañas para su colección personal.</p>,,,taxable,,1,,,0,0,,,,,1,,,39000,Amigurumi,,,,,,,,,,,,0,,1779667235,uag-css-2555.css
,simple,,,Vorabuns,1,1,visible,,<p>Los Vorabuns son confundidos con conejos comunes hasta que muestran su sonrisa. Se alimentan exclusivamente de frutas demasiado maduras y suelen dormir bajo raíces gigantes.</p>,,,taxable,,1,,,0,0,,,,,1,,,39000,Amigurumi,,,,,,,,,,,,0,,1779667235,uag-css-2555.css
,simple,,,Somnuks,1,1,visible,,<p>Los Somnuks aparecen únicamente durante las siestas profundas. Custodian puertas invisibles entre los sueños y el mundo real. Llevan una llave antigua capaz de abrir recuerdos olvidados.</p>,,,taxable,,1,,,0,0,,,,,1,,,39000,Amigurumi,,,,,,,,,,,,0,,1779667235,uag-css-2555.css
,simple,,,Brimps,1,1,visible,,"<p>Los Brimps habitan las Cavidades Carmesí, túneles subterráneos iluminados por hongos rojos. Aunque tienen apariencia demoníaca, son criaturas curiosas que coleccionan botones, llaves y objetos perdidos. Son conocidos por intercambiar tesoros brillantes por secretos.</p>",,,taxable,,1,,,0,0,,,,,1,,,39000,Amigurumi,,,,,,,,,,,,0,,1779667235,uag-css-2555.css
