ID,Tipo,SKU,"GTIN, UPC, EAN, or ISBN",Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto","¿En inventario?",Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,Marcas,"Meta: surerank_seo_checks_last_updated","Meta: _wl_product_rarity","Meta: _uag_css_file_name"
2555,simple,,,Baphy,1,1,visible,,"&nbsp;
\n<p data-start=""15"" data-end=""311"">Una pequeña criatura nocturna tejida a mano que ama esconderse entre libros antiguos y velas encendidas. Aunque parece misterioso, Baphy siempre acompaña a sus humanos favoritos durante largas noches de videojuegos y películas de terror.</p>",,,taxable,,1,,,0,0,,,,,1,,"24000,0","39000,0",Raro,,,http://10.14.6.150/wordpress/wp-content/uploads/2026/05/baphy.png,,,,,,,,,0,,1779817158,,
2557,simple,,,Cthulhuita,1,1,visible,,"<p data-start=""338"" data-end=""584"">Una mini entidad marina llegada desde dimensiones desconocidas… pero extremadamente abrazable. Cthulhuita colecciona secretos, dulces y pequeños objetos brillantes encontrados en las profundidades.</p>",,,taxable,,1,,,0,0,,,,,1,,,"39000,0",Raro,,,http://10.14.6.150/wordpress/wp-content/uploads/2026/05/cthuhuita.png,,,,,,,,,0,,1779817225,,
2559,simple,,,Stitchy,1,1,visible,,"Creado con retazos mágicos y mucha paciencia, Stitchy es un pequeño monstruo torpe pero adorable que siempre protege mochilas, llaves y bolsos con energía caóticamente tierna.",,,taxable,,1,,,0,0,,,,,1,,,"12000,0",Raro,,,http://10.14.6.150/wordpress/wp-content/uploads/2026/05/stitchy.png,,,,,,,,,0,,1779816667,,
2575,simple,,,Peekers,1,1,visible,,"<p>Los Peekers nacen en grietas dimensionales. No son peligrosos; simplemente sienten una curiosidad insaciable por todo lo que sucede a su alrededor.</p>",,,taxable,,1,,,0,0,,,,,1,,,"39000,0",Espeluznante,,,http://10.14.6.150/wordpress/wp-content/uploads/2026/05/peekers.png,,,,,,,,,0,,1779817147,Raro,
2576,simple,,,Monoculs,1,1,visible,,"<p>Los Monoculs poseen un único ojo capaz de observar varios planos simultáneamente. Siempre saben cuándo alguien está a punto de tomar una mala decisión.</p>",,,taxable,,1,,,0,0,,,,,1,,,"39000,0",Espeluznante,,,http://10.14.6.150/wordpress/wp-content/uploads/2026/05/monoculs.png,,,,,,,,,0,,1779817144,Legendario,
2577,simple,,,Peelbeasts,1,1,visible,,"<p>Los Peelbeasts habitan mercados abandonados durante la madrugada. A pesar de sus enormes colmillos, prefieren comer dulces y caramelos antes que cualquier otra cosa.</p>",,,taxable,,1,,,0,0,,,,,1,,,"39000,0",Espeluznante,,,http://10.14.6.150/wordpress/wp-content/uploads/2026/05/peelbeasts.png,,,,,,,,,0,,1779817105,Épico,
2578,simple,,,Twiglets,1,1,visible,,"<p>Los Twiglets suelen esconderse entre ramas secas y adornos olvidados. Les encanta acompañar viajeros, aunque rara vez se dejan ver.</p>",,,taxable,,1,,,0,0,,,,,1,,,"39000,0",Alienígenas,,,http://10.14.6.150/wordpress/wp-content/uploads/2026/05/twiglets.png,,,,,,,,,0,,1779816814,Épico,
2579,simple,,,Runeborns,1,1,visible,,"<p>Los Runeborns nacen cuando una runa antigua permanece olvidada durante siglos. Cada símbolo grabado en su rostro representa un juramento que nunca debe romperse.</p>",,,taxable,,1,,,0,0,,,,,1,,,"39000,0",Alienígenas,,,http://10.14.6.150/wordpress/wp-content/uploads/2026/05/runeborns.png,,,,,,,,,0,,1779816802,Mítico,
2580,simple,,,Moonfae,1,1,visible,,"<p>Los Moonfae recolectan fragmentos de luz lunar para fabricar amuletos. Suelen conserva los colmillos sagrados heredados de su clan.</p>",,,taxable,,1,,,0,0,,,,,1,,,"39000,0",Alienígenas,,,http://10.14.6.150/wordpress/wp-content/uploads/2026/05/moonfae.png,,,,,,,,,0,,1779816376,Legendario,
2581,simple,,,Frostkins,1,1,visible,,"<p>Los Frostkins aparecen en lagos congelados durante los inviernos más silenciosos. Su lengua brillante puede detectar emociones ocultas en las personas.</p>",,,taxable,,1,,,0,0,,,,,1,,,"39000,0",Alienígenas,,,http://10.14.6.150/wordpress/wp-content/uploads/2026/05/frostkins.png,,,,,,,,,0,,1779816784,Legendario,
